entity,prefix,reference,name,description,design-code-categories,organisation,design-code,documentation-url,document-url,start-date,end-date,entry-date
,design-code-rule,hsfs-street-vision-and-strategy,Street vision and strategy,,street-network,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.1,,,
,design-code-rule,hsfs-street-typologies,Street typologies,,street-network;street-hierarchy,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.2,,,
,design-code-rule,hsfs-creating-a-street-network,Creating a street network,,street-network;street-hierarchy,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.3,,,
,design-code-rule,hsfs-connectivity-and-thinking-beyond-the-red-line,Connectivity and thinking ‘beyond the red line’,,street-network,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.4,,,
,design-code-rule,hsfs-permeability-and-walkability,Permeability and walkability,,street-network;inclusive-streets,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.5,,,
,design-code-rule,hsfs-streets-and-block-patterns,Streets and block patterns,,street-network,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.6,,,
,design-code-rule,hsfs-cul-de-sacs,Cul-de-sacs,,street-network;inclusive-streets,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.7,,,
,design-code-rule,hsfs-20-minute-neighbourhoods,20-minute neighbourhoods,,street-network,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.8,,,
,design-code-rule,hsfs-street-adoption,Street adoption,,street-network,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.9,,,
,design-code-rule,hsfs-utilities-and-services,Utilities and services,,utilities-services,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.10,,,
,design-code-rule,hsfs-emergency-vehicles,Emergency vehicles,,utilities-services,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.11,,,
,design-code-rule,hsfs-refuse-collection-and-servicing,Refuse collection and servicing,,utilities-services,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.12,,,
,design-code-rule,hsfs-character-and-local-context,Character and Local Context,,local-character,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.13,,,
,design-code-rule,hsfs-street-types-overview-table,Street types overview table,,street-network;street-hierarchy,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=4.14,,,
,design-code-rule,hsfs-carriageway-vision,Carriageway vision,,street-network;local-character,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5.1,,,
,design-code-rule,hsfs-continuous-pavements-often-called-copenhagen-crossings,Continuous pavements (often called Copenhagen crossings),,walking;inclusive-streets,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5.2,,,
,design-code-rule,hsfs-raised-tables,Raised Tables,,inclusive-streets;junctions-crossings,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5.3,,,
,design-code-rule,hsfs-carriageway-widths-and-tracking-swept-path-analysis,Carriageway widths and tracking (swept path analysis),,street-network;street-hierarchy,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5.4,,,
,design-code-rule,hsfs-traffic-calming,Traffic calming,,street-network;inclusive-streets,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5.5,,,
,design-code-rule,hsfs-20mph-streets,20mph streets,,street-network;inclusive-streets,local-authority:SRY,healthy-street-for-surrey,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5,https://healthystreets.surreycc.gov.uk/requirements-and-guidance/section?id=5.6,,,
